name;protein;fats;carbohydrate;calorie
Проростки «Green Place» чечевица, 50 г;9;0.6;22.1;106
Творог «Савушкин» 101 зерно + сливки, зерненый, манго-маракуйя, 5%, 130 г;10;5;2.8;224
Творог «Ляховичок» рассыпчатый, 5%, 350 г;15;5;1.5;111
Творог «Ляховичок» рассыпчатый, 9%, 350 г;15;9;1.5;147
Масло сладкосливочное «Брест-Литовск» несоленое, 82.5%, 120г;0.5;82.5;0.8;747.7
Сырок творожный глазированный «Савушкин» Моя Аленка, 20%, 40 г;7;23;30.7;357.8
Молоко «Молочный мир» стерилизованное, 1.5%;3.2;1.5;4.7;45
Сыр творожный «Савушкин. HoReCa» сливочный,  65%, 2.4 кг;6.2;27;3;279.8
Творожный десерт «Беллакт» со вкусом банана и земляники, 4%, 100 г;7.3;4;6.4;90.8
Глазированный сырок «Простоквашино» с вареной сгущенкой 23%, 40 г;11;23.5;34;392
Сметана «Молочный мир» 10%, 450 г;2.8;10;3.1;114
Продукт пищевой «Пошехонье» с ароматом сыра, 1 кг;3.8;17;17;236
Творог «Молочная капелька» столовый, 0%, 450 г;16;2;1.3;85
Желе из молочной сыворотки «Yoguru» мохито, 150 г;2.1;16;70;/
Простокваша мечниковская «Молочный мир» 2.5%, 350 г;2.8;2.5;4.6;52.1
Мороженое сливочное «Bahroma» чизкейк гранат-малина, 8%, 75 г;4;18;33.7;308
Сыр мягкий «SVEZA» Моцарелла, 45%, 250 г;18;18;226;/
Сыр мягкий «SVEZA» Моцарелла мини, 45%, 250 г;18;18;226;/
Йогурт питьевой из козьего молока «КФК Дак» с персиковым джемом, 3-4.5%, 250 г;2.9;4.5;4.5;63-77
Сыр козий «КФХ Дак» Рикотта, 30%, 200 г;13;10;2.8;142
Трубочки для молока «Терефимка» микс вкусов, 5х6 г;98.33;390;/;1670
Сырок творожный «Савушкин» чернослив, 9%, 100 г;10;9;15;181
Йогуртный продукт «Ласковое лето» Легкий, манго, 1,5%, 120 г;2.5;1.5;14.5;81.5
Сыр плавленый «Ласковое лето» с ветчиной, 45%, 80 г;15.8;20.5;0;247.7
Сыр плавленый «Ласковое лето» с грибами, 45%, 80 г;15.8;20.5;0;247.7
Сырок творожный глазированный «Савушкин» кокос и миндаль, 20%, 40 г;6;23.4;30.4;356.2
Молочный коктейль «Растишка» вкус ванильного мороженого 2,0%, 210 г;3.3;2;9.9;70
Молочный коктейль «Растишка» со вкусом клубники 2,0%, 210 г;3.3;2;10;70
Молочный коктейль «Растишка» шоколадный со вкусом банана 2,0%, 210 г;3.3;2;10.9;75
Йогурт «Даниссимо» с хрустящими шариками вкус вишня-финик 6,9%, 105 г;6.2;11.9;123;/
Йогурт «Беллакт» детский, яблоко, персик и банан, 3%, 100 г;2.7;3;10.3;79
Сыр твердый «Гауда Lux» 45%, 1 кг;23;25;315;/
Творог «Славянские традиции» мягкий, 4%, 400 г;8.5;4;1.3;75
Сырок творожный глазированный «Тимоша» заварной крем, на печенье, 65 г;7.2;23.9;43.8;419.1
Фруктовый лед «Топ» взрывной кактус, 70 г;0.6;23;90;/
Йогурт «Беллакт» детский, черника, земляника, ежевика, 3%, 100 г;2.7;3;10.3;79
Сыр творожный «Violette» сливочный, 70%, 140 г;7.1;24.5;2.7;260
Сыр творожный «Violetta» с зеленью, 70%, 140 г;7.1;24.5;2.7;260
Сливки питьевые «Рогачевъ» 20%, 200 г;2.8;20;3.7;210
Мороженое пломбир «Морозпродукт» с ароматом ванили, 2.3 кг;3.4;12;20.7;204
Сыр с голубой плесенью «Berger» 55%, 1 кг;20;30;350;/1450
Йогурт питьевой «Беллакт» детский, клубника и банан, 2.6%, 210 г;2.7;2.6;10.9;77.8
Йогурт питьевой «Беллакт» детский, лесная ягода, 2.6%, 210 г;2.7;2.6;10.9;77.8
Йогурт питьевой «Беллакт» детский, яблоко-малина, 2.6%, 210 г;2.7;2.6;10.9;77.8
Сыр творожный «SVEZA» Легкий, 35%, 150 г;7.5;14;4.6;174.4
Сыр полутвердый «Landers» Сулугуни, 40%, 260 г;23;20;275;/
Сыр полутвердый «Landers» Сулугуни, 40%, 400 г;2.7;2.9;19;275
Молочный коктейль «Растишка» со вкусом бабл-гам 2,0%, 210 г;3.3;2;9.9;70
Перец желтый;1.3;0.1;5.3;27
Сгущенное молоко «Рогачевъ» с сахаром, 8.5%, 270 г;8;8.5;56;330
Мороженое «Soletto» шоколад, 75 г;4.5;12;31;250
Напиток «Alpro» миндальный без сахара, 1 л;0.4;1.1;0.1;12
Напиток «Alpro» кокосовый с рисом, 1 л;0.1;0.9;2.7;19
Напиток «Alpro» миндальный, 1 л;0.4;1.1;2.4;21
Мороженое «Soletto» с ароматом ваниль-сливки, 75 г;4;12;28;240
Сырок творожный глазированный «Березка» Плюш, с ароматом ванили, 26%, 45 г;7.7;28.2;31.8;410
Сыр плавленый «Ласковое лето» с грибами, пастообразный, 45%, 170 г;12.4;15.6;5.1;191.4
Сыр полутвердый «Ларец с трюфелем» 50%, 1 кг;23.7;30.5;0;370
Сыр полутвердый «Ларец с лисичками» 50%, 1 кг;23.7;30.5;0;370
Сыр полутвердый «Ларец с вялеными томатами и орегано» 50%, 1 кг;23.7;30.5;0;370
Сыр полутвердый «Ларец с грецкими орехами» 50%, 1 кг;23.6;30.8;0;370
Фруктовый лед «28 копеек» вишневый в шоколадной глазури, 80 г;0.6;10.4;28.7;211
Сыр полутвердый «Моzzarella» пицца, 40%, 370 г;26.3;21.3;0;300
Масло сливочное «Малочны фальварак» 80%, 180 г;0.2;80;0.5;720
Авокадо «Хасс»;0.9;0.1;3;13
Масло топленое «Молочные горки» 99%, 360 г;99;0.3;890;/
Молочный пудинг «Ehrmann» безлактозный, 1.5%, со вкусом ванили, 200 г;10;1.5;6.1;80
Молочный пудинг «Ehrmann» безлактозный, 1.5%, со вкусом шоколада, 200 г;10;1.8;6;80
Сыр плавленый «Hochland» ассорти, 50%, 140 г;9.7;20.9;5.6;250
Мороженое «Морозпродукт» фисташковое, 1 кг;2.8;8;21.5;169
Мороженое «Морозпродукт» дыня-арбуз с прослойкой щербета , 1 кг;1.6;5.5;25.3;157
Мороженое «Морозпродукт» малина-гранат с прослойкой щербета, 1 кг;1.7;5;25.8;155
Мороженое «Морозпродукт» сливочное, с сахарной ватой и маршмеллоу, 1 кг;2.4;7.6;25.7;181
Сливки «Parmalat» ультрапастеризованные, 11%, 200 г;2.6;11;4;125
Сливки «Parmalat» ультрапастеризованные, 11%, 500 г;2.6;11;4;125
Сметана «Молочный мир» 15%, 480 г;2.6;15;2.9;160
Сметана «Молочный мир» 15%, 450 г;2.6;15;2.9;160
Арбуз «Подарок солнца» желтый, 1 кг;1.2;0.2;3.2;12
Молоко «Parmalat Comfort» безлактозное, 1.8%;3;1.8;4.7;47
Молоко «Parmalat» Comfort, безлактозное, 3.5%;3;3.5;4.7;62
Творог «Савушкин» классический, 2%, 180 г;17.5;2;1.3;93.2
Творог «Савушкин» классический, 5%, 180 г;16.5;5;1.5;117
Сметана «Савушкин» 20%, 380 г;2.6;20;2.9;202.0
Кефир «Брест-Литовск» 3.2%, 950 г;3;3.2;4;56.8
Творог «Савушкин» классический, 9%, 180 г;16.2;9;1.5;151
Мороженое «Морозпродукт» двухслойное, сливочное со вкусом бабл гам, 1 кг  ;2.2;8;23;173
Сырок творожный глазированный «Савушкин» вареная сгущенка, 20%, 40 г;6.5;23;31.3;359
Салат «Айсберг» 1 кг;0.9;0.1;3;14
Сыр «Сафийка» Сулугуни, 40%, 300 г;16.7;18.8;240;/
Мороженое «Морозпродукт» сливочное, пинаколада, 1 кг;2.8;9;23.5;186
Мороженое «Морозпродукт» сливочное, мята-лимон, прослойка щербета, 1 кг;1.7;5.5;25.2;157
Набор зелени «СидСад» Эконом, 100 г;2.3;0.6;5.1;30.6
Продукт сгущенный сывороточный с сахаром, 8.5%, 450 г;2;8.5;60;320
Айран «Бабушкина крынка» обезжиренный, 450 г;2.6;0.3;3.8;30
Кукуруза отварная «Merci» в початках;13;2;16;140
Кукуруза отварная «Merci» в початках;13;2;16;140
Сметана «Савушкин» 15%, 380 г;2.7;15;2.9;157.4
Сметана «Савушкин» 25%, 380 г;2.4;25;2.9;246.2
Сметана «Свежие новости» 18%, 380 г;2.6;18;2.9;180
Сметана «Бабушкина крынка» 25%, 380 г;2.4;25;2.9;250
Сыр мягкий «Калинка» Адыгейский легкий, 30%, 1 кг;19.5;10.5;173;/
Сметана «Свежие новости» 22%, 180 г;2.5;22;2.9;220
Смородина красная «Эко Хуторок» 160 г;0.6;0.2;7.7;43
Сыр мягкий «Galbani» Рикотта, 34%, 230 г;6;6;3;375
Творожный десерт «Ляховичок» Лакомка, чернослив, 6%, 200 г;10.7;6;15.3;158
Чеснок;0.5;0.3;11.5;67
Сметана «Свежие новости» 18%, 180 г;2.6;18;2.9;180
Масло сливочное «Бабункина крынка» Мелешенское, несоленое, 70%, 180 г;0.9;1.8;70;640
Смородина красная, 125 г;0.6;0.2;7.7;43
Масло сладкосливочное «Бабушкина крынка» несоленое, 82.5%, 1 кг;0.73;82.5;0.8;750
Масло сладкосливочное «Бабушкина крынка» несоленое, 82.5%, 450 г;0.73;82.5;0.8;750
Груша «Пакхам» крупная, 1 кг;0.6;0.4;15.1;44
Творожный десерт «А.Ростагрокомплекс» чизкейк манго и чиа, 15%, 40 г;9.9;20.2;29.2;356.7
Масло сладкосливочное «Брест-Литовск» несоленое, 82.5%, 400г;0.5;82.5;0.8;747.6
Сырок творожный глазированный «Alpen Gold» с ароматом ванилина, 20 %, 40 г;11.2;23.5;33.4;390
Сырок творожный глазированный «Alpen Gold» с какао, 20%, 40 г;10.3;23.8;36.6;402
Молочный коктейль «Рогачевъ» малина, 2.5%, 200 г;3.3;2.5;9.9;75
Молочный коктейль «Рогачевъ» пломбир, 2.5%, 200г;3.3;2.5;9.9;75
Молочный коктейль «Рогачевъ» шоколад, 2.5%, 200г;3.3;2.5;10.7;80
Сыр мягкий «SVEZA» фета рассольный, 45%, 250 г;11.5;14.8;2.1;778,8
Сыр мягкий «SVEZA» брынза нежная, 45%, 250 г;11.5;14.8;2.1;187.6
Йогурт греческий «Teos» чернослив-злаки, 2%, 140 г;7.8;2;11.3;91.2
Творог «Савушкин» классический, 1%, 200 г;18;1;1.3;86,2
Творог «Савушкин» классический, 5%, 200 г;16.5;5;1.5;117,0
