name;protein;fats;carbohydrate;calorie
Йогурт «Бабушкина крынка» Zvonka, ананас-манго, 2%, 300 г;3.3;2;14.6;90
Йогурт питьевой «Zvonka» клубника-малина, 2%, 300 г;3.3;2;14.1;90
Сыр плавленый сладкий с какао со вкусом «Шоколад» 30%, 170 г;11.5;14.6;17.6;247.8
Сыр плавленый сладкий с какао со вкусом «Шоколадно-ореховый» 30%, 170 г ;11.4;14.6;17.5;247.0
Десерт творожный «Молочный гостинец» черная смородина и чиа 4%, 125 г;7.9;4;12.8;120
Десерт творожный «Молочный гостинец» брусника и клюква, 4%, 125 г;7.9;4;12.8;120
Творог «Савушкин» Легкий, зерненый, абрикос, 3%, 130 г;10;3;2.2;75.8
Напиток кисломолочный «Exponenta High-Pro» соленая карамель, 250 г;12;2.5;60;/
Сыр мягкий с плесенью «Vitalat» Brie, 60%, 125 г;14;28;310;/
Мороженое «Топ» Биг, банан-шоколад, 250 г;3;7;24;170
Маракуйя;2.2;0.7;23;97
Сыр полутвердый «Гранд Пекорино» 45%, 1 кг;21;28.5;340.5;/
Напиток соевый «Не молоко» с бананом, 1 л;2.5;1;2;27
Мороженое «Топ» сливочное с какао с ароматом ваниль-сливки, 70 г;4.5;8;27;200
Сыр «Верхнедвинский маслосырзавод» Молдавский особый, 40%, 1 кг;22;21;280;/
Сыр полутвердый «Сливочный» 45%, 1 кг;23;25;320;/
Сыр полутвердый «Российский элит» 45%, 1 кг;23;25;320;/
Творог «Легкая цена» классический, обезжиренный, 400 г;16;0.1;1.3;70.1
Мороженое сливочное с ароматом  «Soletto» рикотта апельсин, 7%, 75 г;3.5;10;34;240
Мороженое сливочное с ароматом  «Soletto» карамелизированный миндаль, 7 %, 75 г;4;12;33;260
Яйца куриные «Молодецкие» с селеном, СВ, 10 шт;12.7;11.5;0.7;157
Сыр «Гауда» 45%, 1 кг;26;25;330;/1370
Сыр «Тильзитер»  45%, 1 кг;23;25;320;/
Творог «Молочный мир» Active life, 3%, 180 г;18;3;1.4;105
Спред растительно-жировой «Алёнкина Бурёнка» 82.5%, 180 г;82.5;740;/;3050
Малина, 125 г;1.2;0.65;12;53
Питьевой йогурт «Растишка» с бананом 2,8%, 190 г;2.8;2.8;11.3;82
Питьевой йогурт «Растишка» со вкусом клубничного пломбира 2,8%, 190 г;2.8;2.8;11.2;81
Питьевой йогурт «Растишка» фруктовый микс 2,8%, 190 г;2.8;2.8;11.6;83
Кисломолочный продукт «Actimel» с гранатом 1,5%, 95 г;2.6;1.5;11.4;70
Кисломолочный продукт «Actimel» с клубникой 1,5%, 95 г;2.6;1.5;11.2;69
Кисломолочный продукт «Actimel» с черникой и ежевикой 1,5%, 95 г;2.6;1.5;11.2;69
Кисломолочный продукт «Actimel» с земляникой и шиповником 1,5%, 95 г;2.6;1.5;11.2;69
Кисломолочный продукт «Actimel» ягодный микс 1,5%, 95 г;2.6;1.5;11.5;70
Кисломолочный продукт «Actimel» со смородиной и малиной 1,5%, 95 г;2.6;1.5;11.1;68
Кисломолочный продукт «Actimel» с клюквой 1,5%, 95 г;2.6;1.5;11.3;69
Микрозелень «Зеленый Фермер» Редис, 50 г;1.1;0.1;2.4;14.9
Сметана «Минская марка» 18%, 380 г;2.6;18;2.9;184
Молоко «Славянские традиции» 2.5%;3.1;2.5;4.7;55
Молоко «Минская марка» ультрапастеризованное, 3.2%;3.1;3.2;4.7;60
Молоко ультрапастеризованное «Минская марка» 3.4-6%;3.1;6;4.7;85
Кисломолочный продукт «Actimel» ягодный микс 1,5%, 570 г;2.6;1.5;11.5;70
Кисломолочный продукт «Actimel» с гранатом 1,5%, 570 г;2.6;1.5;11.4;70
Кисломолочный продукт «Actimel» с клубникой 1,5%, 570 г;2.6;1.5;11.2;69
Кисломолочный продукт «Actimel» с вишней и черешней 1,5%, 570 г;2.6;1.5;11.4;70
Кисломолочный продукт «Actimel» с киви и клубникой 1,5%, 570 г;2.6;1.5;11.2;69
Кисломолочный продукт «Actimel» с клюквой 1,5%, 570 г;2.6;1.5;11.3;69
Кисломолочный продукт «Actimel» со смородиной и малиной 1,5%, 570 г;2.6;1.5;11.1;68
Кисломолочный продукт «Actimel» с черникой и ежевикой 1,5%, 570 г;2.6;1.5;11.2;69
Кисломолочный продукт «Actimel» с земляникой и шиповником 1,5%, 570 г;2.6;1.5;11.2;69
Мороженое «Магнат» Double пинта, шоколад, 440 мл;4.7;18.2;28.2;301
Сыр с плесенью «Sambiel» 50%, 100 г;20;28;1.8;339
Сыр с голубой благородной плесенью «Grassan» 50%, 1 кг;19;28;4;344
Сыр мягкий «Fresko» Brie с белой плесенью, 50%, 125 г;18;23;0;280
Сыр мягкий «Fresko» Camembert с белой плесенью, 50%, 125 г;18;23;0;280
Сыр с белой плесенью «Бри де Фамиль» 50%, 1 кг;18;23;0;280
Сыр творожный «SVEZA» домашний, сливочный,  50%, 130 г;6.5;17;2.6;189,4
Сыр творожный «SVEZA» домашний, с зеленью, 50%, 130 г;6.5;17;2.6;189,4
Сметана «Поставы городок» 25%, 300 г;2.4;25;2.9;246.2
Сыр «Монтерей Элитный» 45%, 1 кг;26;26;340;/
Творожный десерт «Милкавита» Сказка, банан, 7%, 150 г;5.6;7;13;137
Творожный десерт «Милкавита» Сказка, клубника, 7%, 150 г;5.6;7;13.2;138
Творожный десерт «Милкавита» Сказка, ваниль, 7%, 150 г;5.6;7;12.8;137
Сыр плавленый «Карат» сливочный, ломтиками, 25%, 130 г;8;10;16.8;189
Творог «Беллакт» 5%, 280 г;15.5;5;1.5;113
Сыр «Кронес» с жареным луком и лисичками, 45%, 250 г;24.8;25.2;326;/
Сыр «Молочный мир» Беларусь Экстра, 45%, 1 кг;23;25;320;/
Сыр полутвердый «Сливочный» 45%, 1 кг;23;25;320;/
Ягодный микс, красная смородина, крыжовник, 250 г;0.74;0.58;8.94;43.5
Крыжовник, 125 г;0.88;0.58;10.18;44
Сыр полутвердый «Моцарелла Голд» сулугуни, 40%, 1кг;18;18.4;237.6;/994.78
Морковь столовая мытая;1.5;0.1;7;35
Сыр «Alpen Gold» Маасдам, 45%, 250 г;25;25;330;/
Крем на растительных маслах «Dally» ультрапастеризованный, 20%, 1л;2.5;20;3.8;205
Лук репчатый, 1 кг.;1.1;0.2;9;40
Сыр полутвердый «Bonfesto» моцарелла 40%, 180 г;26.3;21.3;300;/
Сыр полутвердый «Сулугуни» 40%, 180 г;24;21.4;290;/
Йогурт с фруктовым наполнителем «Беллакт» клубника, 2,9%, 380г;3.4;2.9;14;95.7
Йогурт с фруктовым наполнителем «Беллакт» черника, 2,9%, 380г;3.4;2.9;14;95.7
Сыр творожный «Bonfesto» Кремчиз, сливочный, 65%, 140 г;6.3;22.3;230;/930
Сыр творожный «Bonfesto» Кремчиз, с наполнителем зелень, 65%, 140 г;6.3;22.3;230;/930
Молоко «Молочный мир» стерилизованное, 2,5%;2.8;2.5;4.7;55
Молоко «Молочный мир» стерилизованное, 3.2%;3.1;3.2;4.7;60
Молоко сгущенное какао и ароматом черри-бренди «Вишня в шоколаде» 380 г;7.8;7.5;65.8;330
Молоко «Active life» с витаминами ультрапастеризованное, 2/5%;3.1;2.5;4.7;55
Напиток «Alpro» Barista миндальный, 1 л;0.4;1.2;2.5;22
Лед молочный «Bahroma» со вкусом дыни, 68 г;4;6;21.5;155
Крем с творогом и печеньем «Тирамису» с лимонным наполнителем, 90 г;4.5;8;26.5;200
Крем с творогом и печеньем «Шоколадный Чизкейк» 700 г;3.5;8;29.5;200
Сливки питьевые «Ляховичок» пастеризованные, 20%, 500 мл;2.5;20;3.7;117.2
Сметана «Минская марка» 18%, 400 г;2.6;18;2.9;184
Каша молочная «Nestle» 5 злаков, яблоко-земляника-персик, 190 г;4.1;2.9;19.1;122
Сыр творожный «Bonfesto» Кремчиз, томаты и паприка, 65%, 140 г;6.3;22.3;230;/930
Сыр творожный «Bonfesto» Кремчиз, креветка и зелень, 65%, 140 г;6.3;22.3;230;/930
Сырок творожный «Белорусский» ванилин, 23%, 45 г;10.3;23;32.7;00
Сыр полутвердый «Брест-Литовск» Чеддер  45%, 130 г;25;24.6;316;/1313
Сыр плавленый «Ласковое лето» Орбита, 30%, 90 г ;20.7;14.7;7.6;245
Сыр плавленый «Ласковое лето» Янтарь, 60%, 90 г ;12;31.6;4;348.4
Творожный десерт «Беллакт» с вафлей и вишней в глазури, 23%, 100 г;5.9;23.9;41.6;383.5
Сыр творожный «Bonfesto» экстрамягкий, 70%, 400 г;4.5;19;190;/
Десерт творожный «Лакомка» Изюм-мак, 6%, 200 г;10.7;6;15.3;158
Творог «Беллакт»  9%,  280 г;15;9;1.5;147,0
Сыр мягкий  «Беллакт»  сливочный, 60%, 150 г;8.3;18;2.5;205,2
Йогурт питьевой «Беллакт» с бифидобактериями, груша-банан, 2,6%,210 г;2.7;10.9;10.9;77,8
Сыр мягкий  «Беллакт» с грибами, 60%, 150 г;8.3;18;2.5;205,2
Сыр мягкий  «Беллакт» со вкусом креветки, 60%, 150 г;8.3;18;2.5;205,2
Йогурт сладкий «Беллакт» с ароматом манго, 2,6%, 400 г;3.4;2.6;11.8;84,2
Сыр мягкий  «Беллакт» с чесноком, 60%, 150 г;8.3;18;2.5;205,2
Сыр «Маасдам»  45%, 200 г ;23;26.1;330;/1350
Сыр с белой плесенью «Natura selection» Бри, 60%, 125 г;17;32;356;/1490.5
Сыр с белой плесенью «Natura selection» Камамбер, 50%, 125 г;18;23;279;/1168.1
Йогурт греческий «Yогурт» Olimp, 2%, 230 г;8;2;4.2;67
Сыр мягкий «Fresko» Рикотта, 10%, 800 г;8.5;2.5;14;110
Мороженое «Морозпродукт» ананас, прослойка щербета, маракуйя, 1000 г;17;5;25.8;155
Йогурт питьевой «Чудо» клубника-земляника, 2%, 290 г;2;3.1;16;94
Йогурт «Чудо» со вкусом вишни и черешни, 2%, 290 г;3.1;2;16.3;96
Йогурт «Чудо» персик, маракуя, 2%, 290 г;3.1;2;16;94
Йогурт питьевой «Чудо» клубника-земляника, 1.9%, 260 г;2.8;1.9;13.9;84
Молочный коктейль «Топ» со вкусом клубники, 2 %, 450 г;2.3;2;9;63.2
Молочный коктейль «Топ» молочный шоколад, 2%, 450 г;2.3;2;10.5;69.2
Мороженое «20 копеек» пломбир шоколадный, 70 г;3.9;14.4;24.4;243
Сыр Гойя «Zalgris» 50%, 1 кг;33;24;1;342
Творог «Беллакт»  9%,  180 г;15;9;1.5;147.0
Мороженое «Морозпродукт» с черникой и вкусом черники, 1 кг;2.5;7.2;28;87
Масло «Стары Менск» 82.5%, 400 г;0.5;82.5;0.8;750
Сыр мягкий «Chef Works» 10%, 800 г;8;2.5;14;110
Продукт белковый «DelicaCheese» 50%, 800 г;5;18;12;230
Сыр творожный «Bonfesto» Кремчиз, сливочный, 70%, 400 г;7.1;25.7;2.1;270
Напиток молочно-кофейный «Hochwald» Eiscappuccino, 250 мл;2.9;1.9;9.3;66
Напиток молочно-кофейный «Hochwald» Eiskaffee, 250 мл;2.9;0.8;8.7;54
Напиток молочно-кофейный «Hochwald» Eismocca, 250 мл;3;1.9;10.1;70
Напиток молочно-кофейный «Hochwald» Eisschoko, 250 мл;3.4;1.6;10.2;66
Биопродукт кисломолочный «Бифитат» 2,5 %, 0,25 кг;2.9;2.5;4.7;55
Сыр с голубой плесенью «Castello» blue classic, 50 %, 100 г;20;25;3;310
Морковь мытая «NovoVita»;1.3;0.1;7.2;34
Морковь мытая «NovoVita» для сока;1.3;0.1;7.2;34
Уп. Молоко ультрапастеризованное «LATTE BARISTA» 3.2%,12х1 л;3.2;3.2;4.7;60
Уп.Молоко «Малочны гасцiнец» ультрапастеризованное 2.5%, 12х1 л;2.8;2.5;4.7;50
Уп. Молоко «Малочны Гасцiнец» ультрапастеризованное, 3.2%, 12х1 л;2.8;3.2;4.7;60
Уп. Молоко «Савушкин продукт» ультрапастеризованное, 1.5 %, 12х1 л;3;1.5;4.7;43.5
Масло крестьянское «Ульянка» сладкосливочное, несоленое, 72.5%, 160 г;0.8;72.5;1.3;660
Уп. Молоко «Славянские традиции» стерилизованное, 1.5 %, 12х1 л;3.1;1.5;4.7;45
Уп. Молоко ультрапастеризованное «Малочны гасцiнец» 3.2%, 12х1 л;3.1;3.2;4.7;60
Творог «Ясь Белоус» классический, 5%, 700 г ;15;5;1.5;111
Капуста цветная;0.7;0.1;2.7;13
Сыр твердый пармезан «Laime» 40%, 1 кг;33;25;357;/
Сыр твердый пармезан «Dziugas» 40%, 1 кг;33;26;367;/
Напиток кисломолочный «Exponenta» дыня канталупа, 500 г;6;3;35;/150
Сыр «Белорусское золото» 45%, 1 кг;28.1;26.4;350;/
Молоко «Брест-Литовск» ультрапастеризованное, 3.6%;3;3.6;4.7;63.2
Взбитый крем на растительной основе «Bianca Lieve» 250 г;1.1;27;14;303
Сыр мягкий «Bonvistto» Моцарелла, для пиццы, 40%, 500 г;25;19;271;/
Йогурт «Беллакт» с наполнителем груша-ваниль, 2.9%, 380 г;3.4;2.9;14.5;97.7
Творожный продукт «Даниссимо» со вкусом пломбира 5,4%, 110 г;5.4;5.3;13.2;123
Творожный продукт «Даниссимо» со вкусом сливочной карамели 5,6%, 110 г;5.6;5.1;15.9;134
Сыр мягкий «Pretto» Рикотта, 25%, 500 г;8.5;4.7;3.7;91
Десерт творожный «1М Молочный» соленая карамель, 18%, 50 г;9.8;18;35.9;390
Десерт творожный «1М Молочный» миндаль-кокос, 18%, 50 г;8.7;18;37.5;390
Творог «Беллакт» 5%, 180 г;15.5;5;1.5;113
Сливки питьевые ультрапастеризованные, 10%, 0.5 л;2.6;10;4;120
Маслята «И зимой и летом» замороженные, 300 г;1;0.4;3;20
Смесь грибная «И зимой и летом» замороженная, 300 г;2.6;0.8;2.4;27
Мороженое пломбир «Мишка на полюсе» с ароматом ванили, глазированное, эскимо, 15%, 70 г;3.7;24.5;28.8;331
Сыр «Молочный мир» Голландский премиум, 45%, 1 кг;24.8;25.2;326;/
Молочный пудинг «Чудо» со вкусом ванили, 3%, 125 г;2.5;3;14;93
Кисломолочный напиток «Имунеле» мультифрукт, 1.2%, 100 г;2.5;1.2;12.8;72
Кисломолочный напиток «Имунеле» Нео, с ароматом земляники 1.2%,100 г;2.5;1.2;13;73
Молочный коктейль «Чудо» со вкусом клубники, 2%, 960 г;2.9;2;9.4;67
Молоко  сгущенное «РогачевЪ» с сахаром и какао 7,5%, 270 г;7.4;7.5;54.6;320
Сыр «Буррата» со вкусом соуса песто, базиликом и орегано, 50%, 200 г;12;18;3;222
Молоко «Минская марка» стерилизованное, 3.2%, 12х1 л;1;3.2;3.1;60
Яйца куриные  «Молодецкие Золотые» С-1, цветные;12.7;11.5;0.7;157
Яйца куриные «Молодецкие Золотые» С-2, цветные;12.7;11.5;0.7;157
Напиток кефирный «Exponenta» обезжиренный,  со вкусом вишни и ванили, 450 г;5;4.5;38;/160
Сливки питьевые ультрапастеризованные, 33%, 0.5 л;2.6;33;4;320
Яйца куриные белые,  С-1, 10 шт;12.1;10.5;0.7;145.7
Творог «Беллакт»  1%, 180 г;16.3;1;1.3;79,4
Масло «Малочны Фальварак» 82.5%, 360 г;0.5;82.5;0.8;750
Напиток на основе пахты «Маслёнка» груша-лён-злаки, 1,5%, 500 г;3.3;1.5;12;75
Коктейль молочный «РогачевЪ» кокос, стерилизованный, 2.5%, 200 г;2.5;3.3;95;75
Напиток «Alpro» соево-банановый, 1 л;1.4;0.9;8.4;47
Черника «Марьино» замороженная, 300 г;0.2;9.5;57;/
Сливки «Малочны гасцiнец» пастеризованные, 10%, 200 г;2.8;10;4;117.2
Йогурт «Лёгкий»с наполнителем абрикос -манго,  1,0 %, 415  г;2.9;2.9;1;66.6
Молоко «Ясь Белоус» ультрапастеризованное, 3.2%;3;3.2;4.7;59.6
Масло «Ясь Белоус» шоколадное, 62%, 200 г;1.2;62;19.6;645
Сырок творожный «Alpen Gold» черника в шоколадной глазури, 20%, 40 г;10.2;23.5;33.5;386
Пудинг «Минская марка» с ванилином, 7%, 160 г;7.6;7;14.7;150
Коктейль молочный «Топ» с какао и вкусом молочного шоколада, 2%, 800 г;2.3;2;10.5;69,2
Сырок творожный глазированный «Топ» шоколад, 20%, 40 г;7.8;23.2;28.4;362,4
Сырок творожный глазированный «Топ» манго, 20%, 40 г;8;23.2;30.6;363,2
Сырок творожный глазированный «Топ» молоко сгущенное вареное, 20%, 40 г;8;23.2;30.6;363,2
Сырок творожный глазированный «Топ» клубника, 20%, 40 г;8;23.2;30.6;363,2
Крем с творогом «Queen» Пудинг классический, 3%, 120 г   ;2;3;20;120
Сыр плавленый «President» сливочный, 40%, 150 г;13.5;17.5;6;240
Сыр плавленый «President» с ветчиной, 40%, 150 г;13.5;17.5;6;240
Сыр полутвердый «Брест-Литовск» с ароматом топленого молока, 45%, 200 г;25;24;316,0;/
Продукт кисломолочный «Exponenta» со вкусом клубники, 2,5 %, 100 г;3.1;2.5;5.2;56
Продукт кисломолочный «Exponenta» со вкусом манго, 2,5 %, 100 г;3.1;2.5;5.2;56
Продукт кисломолочный «Exponenta» со вкусом черная смородина, 2,5 %, 100 г;3.1;2.5;5.2;56
Масло сладкосливочное «Легкая цена» Крестьянское, несоленое, 82.5%, 160 г;0.5;82.5;0.8;750
Творожный десерт «Минская марка» ваниль, 5%, 400 г;7.5;5;13.8;130
Желе пастеризованное «Skittles» со вкусом клубники, 150 г;4.8;13;58;/
Желе пастеризованное «Skittles» со вкусом ананаса, 150 г;1.5;13;58;/
Сыр плавленый «Ласковое лето» сливочный, 45%, 100 г;12.2;15.6;5;210.4
Продукт «Косичка» 40%, копченый, 1 кг;19.2;22;9.5;984
Розмарин 30 г;3.31;5.86;6.6;131
Руккола 40 г;2.58;0.66;3.65;25
Укроп 40 г;3.5;1.1;7;47
Набор зелени 70 г;2.3;0.6;5.1;30.6
Сыр творожный «Кремчиз воздушный» Сладкий Чили, 65 %, 125 г;5.5;20.5;210;/850
Сливки питьевые ультрапастеризованные «Простоквашино» 10%, 205 г;2.7;10;4.2;118
Сливки питьевые ультрапастеризованные «Простоквашино» 20%, 200 г;2.6;20;4;206
Йогурт «Даниссимо» с шариками, клубника-шоколад, 6,9%, 105 г ;3.3;6.9;11.9;123
Творожный продукт «Даниссимо» земляничный чизкейк, 5,6%, 110 г ;5.2;5.6;14.8;130
Сыр «Золотой Ларец» со вкусом топленого молока, 50 %, 245 г;22.7;30.5;370;/
Сыр «Ларец» с вялеными томатами и орегано, 50 %, 245 г;23.7;30.5;370;/
Сыр «Ларец» с грецкими орехами, 50 %, 245 г;23.6;30.8;370;/1548
Молоко ультрапастеризованное «Ясь Белоус» 2.5%;2.8;2.5;4.7;53
Сыр мягкий «Greco» Президент, 45%, 250 г;12;16.7;3.7;213
Напиток овсяный «Nemoloko» ванильный, 200 мл;1;3.2;6.5;60
Напиток овсяный «Nemoloko» фруктовый «Экзотик» 200 мл;1;0.5;11;50
Паста творожная десертная «Савушкин» 3.5 % с кусочками шоколада,120 г;2.3;2;10.5;69.2
Творог «Савушкин» рассыпчатый, 9 %  700 г;16;9;1.5;151
Молочный коктейль «Топ» со вкусом банана, 2%, 450 г;2.3;2;9;63.2
Молочный коктейль «Топ» со вкусом фисташка-кокос, 2%, 450 г;2.3;2;9;63.2
Ряженка «Савушкин» с фруктовым наполнителем манго, 2.0%, 420 г;2.8;2;9.1;65.6
Сыр плавленый «Ласковое лето» с какао, шоколадно-ореховый, 30%, 350 г;11.4;14.6;17.5;247
Молоко сухое «Стандарт» обезжиренное, 500 г;31.8;1.5;51.8;347
Биойогурт питьевой «Активил» с ароматом чернослива, 2%, 800 г;2.1;2;9;62.4
Клубника «Марьино» быстрозамороженная, 400 г;0.8;0.4;6.7;33
Пирожное «Беллакт» с творогом и вафлей, вкус Тирамису, 23 %, 100 г;5.9;22.4;38.6;379,6
Напиток овсяный «Nemoloko» классический, 200 мл;1;3.2;6.5;60
Напиток овсяный «Nemoloko» шоколадный, 200 мл;1;3.2;9.5;70
Напиток кокосовый «Green Idea» 1л ;0.7;1.5;6;40
Напиток овсяный «Green Idea» 1л ;1;1.5;5;38
Напиток соевый «Green Idea» 1 л ;2.2;1.2;1.5;38
Напиток фисташковый, 300 мл;0.9;2.6;0.7;29,8
Напиток из фундука, 300 мл;0.6;3;0.4;31
Напиток миндальный, 300 мл;0.6;2.6;0.5;27,3
Напиток миндальный «Green Idea» 1 л;0.7;1.5;6;40
Йогурт «Савушкин» банан, 2%, 120 г;2.9;2;13.5;83.5
Йогурт «Савушкин» земляника-банан, 2%, 930 г;2.9;2;10;69.6
Капуста маринованная «Нежино» По-грузински, 600 г;2;0.1;8;45
Творожный десерт «Молочный Гостинец» взбитый, земляника, 7%, 125 г;7.1;7;12.9;143
Масло сладкосливочное несоленое «Беллакт» 74,0%, замороженное, 160 г;0.7;74;1.2;673,6
Трубочка для молока «Зебра в клеточку» микс, 5х6 г;97;390;/;1650
Трубочка для молока «Молшебная палочка» микс, 5х6 г;96.75;387;/;1620
Трубочка для молока «Молшебная палочка» микс, 5х6 г;96.75;387;/;1620
Сливки «Простоквашино» ультрапастеризованные, 10%, 500 г;2.9;10;4.5;120
Сливки «Простоквашино» ультрапастеризованные, 20%, 500 г;2.6;20;4;206
Творожный продукт «Простоквашино» с вишней и бананом 3,6 %, 110 г;6.7;3.6;12.7;110
Творожный продукт «Простоквашино» с ананасом и бананом 3,6 %, 110 г;6.7;3.6;12.9;111
Йогурт «Простоквашино» с вишней и черешней 2,9%, 110 г;3.6;2.9;12;89
Йогурт «Простоквашино» с персиком 2,9%, 110 г;3.6;2.9;12;89
Йогурт «Савушкин» клубника-земляника, 2,0 %, 120 г;3;2;15.5;93
Молоко «Бабушкина крынка» ультрапастеризованное, 2.5%;2.9;2.5;4.7;55
Свекла столовая «Ферма» ранняя;1.5;0.1;8.8;43
Молоко «Ясь Белоус» ультрапастеризованное, 3,2%;3.1;3.2;4.7;60
Биокефир «Ясь Белоус» 1%, 930 г ;3.1;1;4;35
Кефир «Ясь Белоус» 3,2%, 930 г;3.1;3.2;4;50
Печенье орешки «Brown's Bakery» с начинкой «Варенка» 65 г;5;17.4;51.9;380
Творог «Брест-Литовск» 5%, 200 г;16.5;5;1.5;117
Сметана «Беллакт» 24%, 400 г;2.5;24;2.9;237.6
Продукт кисломолочный «Снежок» 2,5%, 500 г;2.8;2.5;11;77,7
Масло сладкосливочное «Беллакт» несоленое, 83.5%, 160 г ;0.6;83.5;0.9;757.5
Лук зеленый «Мистер шпинат» 50 г;1.8;0.2;7;32
Руккола «Мистер шпинат» в лотке, 20 г;2.6;0.7;2.1;25
Тимьян «Мистер шпинат» в лотке, 20 г;5.56;1.68;10.45;101
Авокадо «Sozrello» зрелое;0.9;0.1;3;31
Картофель ранний «Ферма» фасованный;2;0.4;16.3;77
Сыр плавленый «Fresko» сливочный, 45%, 130 г;8.9;18.9;9.9;250
Сыр плавленый «Fresko» с ветчиной, 45%, 130 г;9.1;18.9;9.4;240
Йогурт питьевой «Оптималь» апельсин-облепиха-имбирь, 2,0 %, 415 г;2.9;2;11.2;74.4
Паста творожная десертная «Савушкин» ваниль, 3.5 %,120 г;7;3.5;13;111,5
Паста творожная десертная «Савушкин» яблочный штрудель, 3.5 %,120 г;7;3.5;13;111,5
Сыр творожный «SVEZA» Розмарин-чеснок, 60 %, 150г;13.1;16.6;1.5;213.8
Мороженое сливочное эскимо «Магнат» с кокосом и шербетом маракуйа, 70 г ;3.7;17.8;34.3;16
Сыр творожный «Cream Nuvo» с наполнителем Шампиньоны, 65%, 170 г;7;24;3.8;259
Масса сырная из рикотты «Bonfesto» сырники, 25%, 500 г;7;7;16;150
Сыр полутвердый «Гауда Лайт» 40%, 1 кг;25.1;19.1;270;/
Творог зерненый «101 зерно» апельсин-ананас, 5%, 130 г    ;10;3;2.8;96
Мороженое пломбир «20 копеек» с наполнителем малина, 75 г  ;3.3;12.7;28.1;240
Картофель мытый;0.2;0.1;19.7;83
Трубочка для молока  «Чебурашка» микс, 30 г;97;390;/;1631,76
Сырок творожный глазированный «Минский молочный №1» соленая карамель, 18%, 45 г;10.6;22.4;31.2;370
Сырок творожный глазированный «Минский молочный №1» кокос-миндаль, 18%, 45 г;9.3;23.3;33;380
Йогурт безлактозный «Здравушка»  яблоко-банан 1,5%,430 г;3.1;1.5;11.7;70
Йогурт безлактозный «Здравушка» 1,7%, 430 г ;3.4;1.7;5.3;50
Яйца куриные белые «Курочкина дача» С-1, 10 шт;12.1;10.5;0.7;145.7
Творог «Мягкий» 5 %, 125 г;8.5;5;1.6;85.4
Сыр творожный воздушный «SVEZA» 60 %, с авокадо, 150 г;6;20.5;3.6;222.9
Творог «Мягкий нежный» обезжиренный, 200 г;10;0.1;1;44.9
Масло сладкосливочное несоленое «Крестьянское» 72.5%, 160 г;0.8;72.5;1.3;660.9
Напиток кисломолочный «Ayran» 1.5%, 250 г;1.9;1.5;2;29,1,
Молоко сухое «Рогачевъ» цельное, 26%, 300 г;23.8;26;38.7;484
Молоко сухое «Калинка» обезжиренное, быстрорастворимое, 300 г;32;1.5;50;340
Яйцо куриное «Родное подворье» С2, 10 шт;11;10;1;138
Масло сливочное «Минская марка» соленое, прованские травы, 69,0%,180 г;1.4;69;2.5;637
Масло сливочное «Минская марка» соленое, пряный чеснок, 69,0%, 180 г ;1.4;69;2.5;636
Паста десертная «Беллакт» с какао и фундуком, 25%, 250 г;3.2;25;36.5;383.8
Сыр «Ясь Белоус» Российский молодой, 50%, 200 г;25.7;29.3;366.5;/
Сыр рассольный сливочный «Сиртаки» для греческого салата, 50 %, 200 г;7.3;20;8.5;243
Йогуртный продукт «Легкий» малина-банан, 1,5 % , 350 г;2.5;1.5;14.5;81.5
Сыр твердый «Брест-Литовск» выдержанный , 45%, 1 кг;26;27.4;350.6;/1455.8
Напиток молочно-кофейный «Eismacchiato» ультрапастеризованный, 1,4 %, 250 мл;2.9;1.4;8.3;8
Крем взбитый на растительных маслах ультрапастеризованный «Фитнес» 24 %, 250 г;1.1;24;7.8;256
Взбитый крем на растительных маслах «Кулинар» ультрапастеризованный, 26,5%, 250 г;1.1;26.5;14;303
Сгущенное молоко «Рогачевъ» с сахаром, 8,5%, 650 г;8;8.5;56;330
Бифидопродукт «Бифидин» 3.2%, 200 г;3.1;3.2;4.8;60.4
Творожный десерт «Беллакт» с персиком и абрикосом в глазури,24,0%, 75 г;6.7;24.4;38.6;400,8
Масло сладкосливочное «#Можно» безлактозное, 82,5%, 180 г ;0.4;82.5;0.7;746.9
Масло сладкосливочное несоленое Брест-Литовск» 82,5 %, 1 кг;0.5;82.5;0.8;747.7
Коктейль «Это вкусно» 2%, малина, 430 г;3;2;10.1;70
Коктейль «Это вкусно» 2%, бельгийский шоколад, 430 г;3;2;10.1;70
Напиток кисломолочный «Это вкусно» 1%, персик, 430 г;2.4;1;9.1;55
Напиток кисломолочный «Это вкусно» 1%, черника, 430 г;2.4;1;9.1;55
Напиток кисломолочный «Это вкусно» 1%, клубника, 430 г;2.4;1;9.1;55
Йогурт «Бабушкина крынка» 2.5%, персик, 200 г;3.3;2.5;13;90
Йогурт «Бабушкина крынка» 2.5%, банан, 200 г;3.3;2.5;13;90
Йогурт «Бабушкина крынка» 2.5%, малина, 200 г;3.3;2.5;13;90
Йогурт «Бабушкина крынка» 2.5%, пломбир, 200 г;3.3;2.5;12.7;85
Мороженое сливочное «Топ» черная вишня, с ароматом йогурта, 7%, 70 г;3.5;7;27;180
Сырок глазированный «Клецкая Крыначка» с ароматом ванили, 26%, 45 г;7.3;28.2;31.7;412
Сырок глазированный «Клецкая Крыначка» с какао и ванилью, 12%, 45 г;12.6;17.3;34.9;350
